gender,occupation,city_category,stay_years,marital_status,purchase_amount,quantity,age_group,product_category,payment_method
F,13,C,2,0,235.47,4,26-35,Alimentos,PIX
F,16,C,3,1,109.23,3,36-45,Beleza,Dinheiro
F,14,C,1,0,155.71,5,46-50,Roupas,Cartao_Debito
F,19,C,3,0,113.56,2,46-50,Roupas,PIX
M,11,B,3,0,82.9,5,46-50,Brinquedos,PIX
M,5,A,3,1,225.65,1,26-35,Beleza,Dinheiro
M,10,A,2,0,108.62,1,36-45,Beleza,PIX
F,1,A,2,1,151.58,1,18-25,Beleza,Cartao_Debito
M,17,A,1,0,155.84,4,51-55,Alimentos,Dinheiro
M,7,A,0,1,300.32,4,26-35,Eletronicos,Dinheiro
M,3,A,1,1,50.94,4,0-17,Esportes,Dinheiro
F,9,C,1,0,352.39,4,26-35,Eletronicos,Boleto
M,14,A,1,1,136.35,3,51-55,Beleza,PIX
F,2,B,2,1,244.08,1,18-25,Alimentos,Cartao_Debito
M,3,A,2,0,160.49,5,18-25,Eletronicos,Boleto
M,9,A,3,0,97.53,3,26-35,Casa,PIX
M,5,C,0,0,191.42,5,18-25,Beleza,PIX
F,15,C,3,0,147.19,1,0-17,Beleza,PIX
F,9,A,4,0,280.76,5,26-35,Esportes,Cartao_Debito
M,6,C,2,0,572.93,5,36-45,Casa,Cartao_Credito
F,7,B,3,1,559.73,1,46-50,Eletronicos,Cartao_Credito
F,18,A,0,0,87.85,3,55+,Esportes,Dinheiro
M,19,A,0,0,332.26,1,51-55,Roupas,Dinheiro
M,18,B,4,0,219.78,4,55+,Alimentos,PIX
M,10,C,3,1,125.4,2,36-45,Beleza,Cartao_Debito
M,15,C,2,0,109.8,3,46-50,Beleza,Cartao_Credito
M,6,C,4,0,190.84,2,36-45,Beleza,PIX
M,19,B,2,1,62.95,5,51-55,Brinquedos,Dinheiro
M,18,B,0,0,620.13,1,46-50,Esportes,Cartao_Credito
M,12,A,0,1,176.5,1,26-35,Alimentos,Dinheiro
M,17,B,1,1,122.75,5,46-50,Casa,Cartao_Debito
F,19,A,2,0,258.25,2,55+,Eletronicos,Boleto
M,17,C,4,0,150.48,5,51-55,Brinquedos,Cartao_Debito
M,6,C,2,1,180.51,3,26-35,Roupas,PIX
M,12,B,1,1,168.3,2,46-50,Alimentos,Boleto
